fecha,descripcion,monto,cuenta
2026-03-01,Pago en OXXO,-186.50,Mercado Pago
2026-03-02,Netflix,-299.00,Mercado Pago
2026-03-03,Transferencia recibida SPEI,2500.00,Mercado Pago
2026-03-04,Uber Eats,-245.80,Mercado Pago
2026-03-05,Rappi,-189.00,Mercado Pago
2026-03-06,Spotify,-129.00,Mercado Pago
2026-03-07,Recarga Telcel,-100.00,Mercado Pago
2026-03-08,Cinemex,-380.00,Mercado Pago
2026-03-09,Retiro a cuenta Santander,-1500.00,Mercado Pago
2026-03-10,Pago QR restaurante,-640.00,Mercado Pago
2026-03-11,Cashback Mercado Pago,45.00,Mercado Pago
2026-03-12,Steam,-520.00,Mercado Pago
2026-03-13,Farmacia del Ahorro,-275.00,Mercado Pago
2026-03-14,Didi Food,-310.00,Mercado Pago
2026-03-15,Transferencia a Bitso,-2000.00,Mercado Pago
