fecha,descripcion,monto,cuenta
2026-03-01,SUPERAMA POLANCO,-1850.40,Santander Débito
2026-03-02,NETFLIX.COM,-299.00,Santander Débito
2026-03-03,CFE SUMINISTRADOR,-1240.00,Santander Débito
2026-03-04,TRANSFERENCIA A BITSO,-5000.00,Santander Débito
2026-03-05,UBER EATS CDMX,-287.50,Mercado Pago
2026-03-06,RENTA DEPARTAMENTO,-14500.00,Santander Débito
2026-03-07,SPOTIFY PREMIUM,-129.00,Mercado Pago
2026-03-08,GASOLINA PEMEX,-980.00,Santander Crédito
2026-03-09,CINEPOLIS VIP,-420.00,Mercado Pago
2026-03-10,TELCEL PAGO,-549.00,Santander Débito
2026-03-11,OXXO TIENDA,-156.20,Mercado Pago
2026-03-12,ACTINVER TRADE DEPOSITO,-8000.00,Santander Débito
2026-03-13,RESTAURANTE CONTRAMAR,-1890.00,Santander Crédito
2026-03-14,FARMACIA GUADALAJARA,-320.00,Mercado Pago
2026-03-15,NOMINA EMPRESA,45000.00,Santander Débito
2026-03-16,STEAM GAMES,-650.00,Mercado Pago
2026-03-17,METROBUS RECARGA,-200.00,Mercado Pago
2026-03-18,AMAZON MX HOGAR,-890.00,Santander Crédito
2026-03-19,GIMNASIO SPORT CITY,-999.00,Santander Débito
2026-03-20,CETES DIRECTO,-3000.00,Santander Débito
