Fecha,Concepto,Cargo,Abono,Cuenta
01/03/2026,SUPERAMA POLANCO,"1,850.40",,Santander Débito
02/03/2026,NETFLIX.COM,299.00,,Santander Débito
03/03/2026,CFE SUMINISTRADOR,"1,240.00",,Santander Débito
04/03/2026,SPEI ENVIADO BITSO,"5,000.00",,Santander Débito
05/03/2026,UBER EATS CDMX,287.50,,Santander Débito
06/03/2026,RENTA DEPARTAMENTO,"14,500.00",,Santander Débito
07/03/2026,SPOTIFY PREMIUM,129.00,,Santander Débito
08/03/2026,GASOLINA PEMEX,980.00,,Santander Crédito
09/03/2026,CINEPOLIS VIP,420.00,,Santander Débito
10/03/2026,TELCEL PAGO,549.00,,Santander Débito
11/03/2026,OXXO TIENDA,156.20,,Santander Débito
12/03/2026,SPEI ENVIADO ACTINVER TRADE,"8,000.00",,Santander Débito
13/03/2026,RESTAURANTE CONTRAMAR,"1,890.00",,Santander Crédito
14/03/2026,FARMACIA GUADALAJARA,320.00,,Santander Débito
15/03/2026,NOMINA EMPRESA,,"45,000.00",Santander Débito
16/03/2026,STEAM GAMES,650.00,,Santander Débito
17/03/2026,METROBUS RECARGA,200.00,,Santander Débito
18/03/2026,AMAZON MX HOGAR,890.00,,Santander Crédito
19/03/2026,GIMNASIO SPORT CITY,999.00,,Santander Débito
20/03/2026,SPEI ENVIADO CETES DIRECTO,"3,000.00",,Santander Débito
